index,geometry
0,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
1,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
2,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
3,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
4,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
5,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
6,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
7,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
8,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
9,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
10,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
11,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
12,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
13,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
14,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
15,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
16,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
17,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
18,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
19,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
20,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
21,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
22,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
23,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
24,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
25,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
26,"POLYGON ((-8236139.639159924 4975314.625364609, -8235990.35972277 4975231.530874815, -8235952.110345733 4975300.239901917, -8236101.367518989 4975383.320281857, -8236120.046929544 4975349.758897243, -8236123.4087781655 4975343.719623545, -8236137.713332732 4975318.078466567, -8236139.639159924 4975314.625364609))"
