index,name,geometry
0,Columbus Avenue,"LINESTRING (-8234860.077273001 4980333.535141255, -8234863.606100859 4980327.125245653, -8234906.920514727 4980247.839889491, -8234914.890990266 4980233.902904723)"
1,West 80th Street,"LINESTRING (-8235173.853521699 4980508.441645807, -8235160.951592717 4980501.237735307, -8234872.53392402 4980340.474299034, -8234860.077273001 4980333.535141255)"
2,Amsterdam Avenue,"LINESTRING (-8235173.853521699 4980508.441645807, -8235168.565845888 4980517.997861814, -8235145.901197561 4980559.030889457, -8235134.735852635 4980579.304885429, -8235126.052932353 4980594.359714606, -8235121.332985944 4980602.7104501715)"
3,West 80th Street,"LINESTRING (-8235369.475262869 4980617.397764739, -8235349.727185204 4980606.400654257)"
4,Broadway,"LINESTRING (-8235369.475262869 4980617.397764739, -8235373.549556233 4980610.149667802, -8235417.108872982 4980532.5233280575, -8235425.2574597085 4980517.997861814)"
5,West 80th Street,"LINESTRING (-8235490.869167581 4980685.924156031, -8235475.918959967 4980677.749774716, -8235380.71853144 4980623.660830522, -8235369.475262869 4980617.397764739)"
6,West End Avenue,"LINESTRING (-8235490.869167581 4980685.924156031, -8235486.394124051 4980694.010331332, -8235463.963246655 4980734.044348783, -8235443.8144188225 4980770.755819384, -8235439.216923854 4980779.621285317)"
7,West End Avenue,"LINESTRING (-8235490.869167581 4980685.924156031, -8235495.143836027 4980678.205540402, -8235521.882777716 4980629.909198275, -8235538.213347016 4980599.902367521, -8235546.139294758 4980585.714946578)"
8,West 80th Street,"LINESTRING (-8235639.024277877 4980767.712452337, -8235628.482322101 4980761.890361499, -8235504.962215115 4980693.642777762, -8235490.869167581 4980685.924156031)"
9,Riverside Drive,"LINESTRING (-8235639.024277877 4980767.712452337, -8235700.9624425545 4980689.761412929, -8235711.137044013 4980677.279306935)"
10,Riverside Drive,"LINESTRING (-8235639.024277877 4980767.712452337, -8235597.457580015 4980821.12588712, -8235591.145764886 4980829.785565924, -8235584.934137301 4980839.253882267, -8235580.659468856 4980847.149053692, -8235576.4627240505 4980856.191017635)"
11,Central Park West,"LINESTRING (-8234337.5213193195 4980531.802934991, -8234332.111192067 4980541.300366208, -8234290.11034819 4980617.838825577, -8234285.9803950805 4980625.322160852)"
12,Central Park West,"LINESTRING (-8234337.5213193195 4980531.802934991, -8234342.152210135 4980523.496365725, -8234383.941546979 4980447.855453934, -8234389.073375505 4980438.5786399795)"
13,Columbus Avenue,"LINESTRING (-8234653.345846648 4980707.477503603, -8234658.288432041 4980698.509188124, -8234699.677018717 4980623.352087748, -8234704.897902836 4980613.869278743)"
14,West 84th Street,"LINESTRING (-8234653.345846648 4980707.477503603, -8234638.139604205 4980699.02376338, -8234350.423248303 4980538.845147037, -8234337.5213193195 4980531.802934991)"
15,West 84th Street,"LINESTRING (-8234967.901331782 4980881.096893321, -8234955.889958726 4980874.480804444, -8234834.507185966 4980807.467428015, -8234666.359095122 4980714.652161917, -8234653.345846648 4980707.477503603)"
16,Amsterdam Avenue,"LINESTRING (-8234967.901331782 4980881.096893321, -8234962.402148937 4980891.035737481, -8234920.05621464 4980967.665153757, -8234916.026449073 4980974.957623791)"
17,West 84th Street,"LINESTRING (-8235159.081425273 4980987.690054286, -8235139.555986586 4980976.7954447195)"
18,Broadway,"LINESTRING (-8235159.081425273 4980987.690054286, -8235163.055531093 4980980.691626231, -8235207.494271816 4980904.620801189, -8235212.470253055 4980896.166890275)"
19,Central Park West,"LINESTRING (-8235533.771699333 4978372.141712271, -8235528.895905635 4978380.343561215, -8235485.269797194 4978455.057136741, -8235480.906073155 4978463.597127373)"
20,West 61st Street,"LINESTRING (-8235664.839267793 4978445.179566528, -8235640.070681091 4978431.083468001)"
21,Broadway,"LINESTRING (-8235664.839267793 4978445.179566528, -8235664.382857881 4978432.626835461, -8235661.1434606975 4978337.320677582, -8235660.842898073 4978321.402111682)"
22,West 61st Street,"LINESTRING (-8235845.588724992 4978546.189952219, -8235831.551337204 4978538.267243059, -8235808.074056596 4978525.008846191, -8235800.493199273 4978520.966655605, -8235793.268564321 4978516.939165554, -8235782.414913968 4978510.883234739, -8235682.116052764 4978454.836655154, -8235677.529689742 4978452.087985122, -8235664.839267793 4978445.179566528)"
23,Columbus Avenue,"LINESTRING (-8235845.588724992 4978546.189952219, -8235850.509046487 4978537.355911434, -8235889.303889028 4978467.374715973, -8235896.8736144025 4978453.7195485225)"
24,Amsterdam Avenue,"LINESTRING (-8236159.209126406 4978719.7562211165, -8236154.099561778 4978728.72271954, -8236114.792649579 4978800.072821683, -8236108.803660973 4978810.891506497)"
25,West 61st Street,"LINESTRING (-8236159.209126406 4978719.7562211165, -8236145.973238949 4978712.4654350225, -8236111.920606717 4978693.327147422, -8236081.463594035 4978676.570152206, -8236077.033078303 4978659.871982064)"
26,West 61st Street,"LINESTRING (-8236477.939092444 4978896.559450165, -8236463.467558641 4978889.15093668, -8236406.694618337 4978857.56192141, -8236398.790934491 4978853.049213283, -8236350.867893704 4978825.973008312, -8236250.001303096 4978769.689432636, -8236242.375917978 4978765.544246102, -8236177.343071456 4978729.398882051, -8236159.209126406 4978719.7562211165)"
27,West 61st Street,"LINESTRING (-8236477.939092444 4978896.559450165, -8236494.358717338 4978905.570209262, -8236581.510746677 4978955.857159421, -8236591.618556444 4978961.663474054)"
28,West End Avenue,"LINESTRING (-8236477.939092444 4978896.559450165, -8236472.239534517 4978906.246384016, -8236452.380137358 4978942.451200597, -8236431.129246566 4978980.890484869, -8236426.8657100685 4978988.578359877)"
29,West End Avenue,"LINESTRING (-8236477.939092444 4978896.559450165, -8236482.870545888 4978887.710393042, -8236508.273653687 4978841.363219845, -8236523.379708587 4978814.18415208, -8236528.667384399 4978804.997085704)"
30,Central Park West,"LINESTRING (-8234073.460355208 4981009.346986329, -8234077.746155604 4981001.495791566, -8234118.900971349 4980925.365994468, -8234123.810160893 4980916.720933372)"
31,West 79th Street,"LINESTRING (-8235711.137044013 4980677.279306935, -8235724.873869178 4980685.07143248, -8235732.688497431 4980689.614391563)"
32,Riverside Drive,"LINESTRING (-8235711.137044013 4980677.279306935, -8235721.745791486 4980663.738665826, -8235722.892382242 4980662.283158291, -8235775.958383502 4980595.241834223, -8235783.24981015 4980585.935476279)"
33,Riverside Drive,"LINESTRING (-8235711.137044013 4980677.279306935, -8235700.9624425545 4980689.761412929, -8235639.024277877 4980767.712452337)"
34,West 79th Street,"LINESTRING (-8235711.137044013 4980677.279306935, -8235699.3149140915 4980670.560441408, -8235660.330828416 4980648.889558727, -8235559.720272637 4980592.904217412, -8235546.139294758 4980585.714946578)"
35,,"LINESTRING (-8236009.506675187 4980464.8360157795, -8235974.307452198 4980508.662173764, -8235966.270184963 4980520.835324675, -8235958.5668762 4980531.567704612, -8235950.540740913 4980541.903144664, -8235941.334619024 4980552.650249687, -8235932.173024933 4980563.015115945, -8235921.163527292 4980574.982507124, -8235909.586300251 4980586.126602025, -8235897.029461689 4980598.108723528, -8235880.977191116 4980611.737485738, -8235867.073386718 4980622.646390016, -8235853.369957399 4980632.673183405, -8235838.686916565 4980642.714689155, -8235829.603246115 4980648.419092337, -8235820.219013041 4980654.329328014, -8235810.745724375 4980660.121950531, -8235802.140727738 4980664.900131591, -8235792.834418306 4980669.5606981395, -8235782.414913968 4980673.80960775, -8235771.6948470045 4980677.617455651, -8235761.164023177 4980680.969539202, -8235754.050707715 4980683.130751575, -8235732.688497431 4980689.614391563)"
